Date,Team,Acquired,Relinquished,Notes
2014-12-10,Warriors,, Andrew Bogut,placed on IL with right knee injury
2014-12-11,Rockets,, Francisco Garcia,placed on IL
2014-12-11,Rockets, Isaiah Canaan,,activated from IL
2014-12-12,76ers,, Andrei Kirilenko,placed on IL
2014-12-12,76ers, Tony Wroten Jr.,,activated from IL
2014-12-12,Celtics,, Avery Bradley,placed on IL with flu
2014-12-12,Celtics,, James Young,placed on IL with dislocated right shoulder
2014-12-12,Celtics, Dwight Powell,,activated from IL
2014-12-12,Grizzlies,, Jordan Adams,placed on IL
2014-12-12,Grizzlies, Jarnell Stokes,,activated from IL
2014-12-12,Hawks,, Pero Antic,placed on IL with flu
2014-12-12,Hawks, (James) Mike Scott,,activated from IL
2014-12-12,Hornets,, Noah Vonleh,placed on IL
2014-12-12,Nets,, Mirza Teletovic,placed on IL
2014-12-12,Nets, Joe Johnson,,activated from IL
2014-12-12,Pistons,, Luigi Datome / Gigi Datome,placed on IL
2014-12-12,Pistons, Jodie Meeks,,activated from IL
2014-12-12,Raptors,, Bruno Caboclo,placed on IL
2014-12-12,Raptors, Lucas Nogueira,,activated from IL
2014-12-12,Suns,, Tyler Ennis,placed on IL
2014-12-12,Suns, Isaiah Thomas,,activated from IL
2014-12-13,Bucks,, Ersan Ilyasova,placed on IL with fractured nose
2014-12-13,Bucks,, John Henson,placed on IL with sprained left foot
2014-12-13,Bucks, Johnny O'Bryant III,,activated from IL
2014-12-13,Clippers,, C.J. Wilcox,placed on IL
2014-12-13,Clippers,, Spencer Hawes,placed on IL with bruised left knee
2014-12-13,Clippers, Chris Douglas-Roberts,,activated from IL
2014-12-13,Clippers, Reggie Bullock,,activated from IL
2014-12-13,Kings,, Omri Casspi,placed on IL with bone bruise in left knee
2014-12-13,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
2014-12-13,Magic, Nikola Vucevic,,activated from IL
2014-12-13,Mavericks,, Chandler Parsons,placed on IL with sore lower back
2014-12-13,Mavericks, Ricky Ledo,,activated from IL
2014-12-13,Nuggets,, JaVale McGee,placed on IL with strained left lower leg
2014-12-13,Bucks, Damien Inglis,,activated from IL
2014-12-13,Nuggets, Danilo Gallinari,,activated from IL
2014-12-14,Heat,, Hassan Whiteside,placed on IL
2014-12-14,Heat,, Shabazz Napier,placed on IL
2014-12-14,Heat, Chris Andersen,,activated from IL
2014-12-14,Jazz,, Derrick Favors,placed on IL with sprained right ankle
2014-12-14,Jazz, Toure' Murry / Toure Murry,,activated from IL
2014-12-14,Knicks,, Iman Shumpert,placed on IL with dislocated left shoulder
2014-12-14,Raptors,, Lucas Nogueira,placed on IL
2014-12-14,Raptors, Bruno Caboclo,,activated from IL
2014-12-14,Spurs,, (William) Tony Parker,placed on IL with strained left hamstring
2014-12-14,Spurs, Kawhi Leonard,,activated from IL
2014-12-14,Suns,, Goran Dragic,placed on IL with sore/strained lower back
2014-12-14,Suns, Tyler Ennis,,activated from IL
2014-12-14,Thunder,, Lance Thomas,placed on IL
2014-12-14,Thunder, Mitch McGary,,activated from IL
2014-12-15,Celtics,, Marcus Thornton (T.),placed on IL with calf injury
2014-12-15,Celtics, Avery Bradley,,activated from IL
2014-12-15,Raptors,, Bruno Caboclo,placed on IL
2014-12-15,Raptors, Lucas Nogueira,,activated from IL
2014-12-16,Heat,, Chris Bosh,placed on IL with strained left calf
2014-12-16,Heat,, Josh McRoberts,placed on IL with torn meniscus in right knee (out for season)
2014-12-16,Heat, Hassan Whiteside,,activated from IL
2014-12-16,Heat, Shabazz Napier,,activated from IL
2014-12-16,Mavericks,, Ricky Ledo,placed on IL
2014-12-16,Mavericks, Chandler Parsons,,activated from IL
2014-12-16,Nets,, Markel Brown,placed on IL
2014-12-16,Nets, Mirza Teletovic,,activated from IL
2014-12-16,Thunder,, Mitch McGary,placed on IL with shin/tibia injury
2014-12-16,Thunder, Lance Thomas,,activated from IL
2014-12-17,Blazers,, Robin Lopez,placed on IL with fractured right hand
2014-12-17,Blazers, C.J. McCollum,,activated from IL
2014-12-17,Hawks,, Jeff Teague,placed on IL with hamstring injury
2014-12-17,Hawks, Pero Antic,,activated from IL
2014-12-17,Jazz,, Toure' Murry / Toure Murry,placed on IL
2014-12-17,Jazz, Derrick Favors,,activated from IL
2014-12-17,Nets, Markel Brown,,activated from IL
2014-12-17,Nuggets, Danilo Gallinari,,activated from IL
2014-12-17,Raptors,, Lucas Nogueira,placed on IL (not CBC)
2014-12-17,Raptors, Bruno Caboclo,,activated from IL
2014-12-17,Suns,, Tyler Ennis,placed on IL
2014-12-17,Suns, Goran Dragic,,activated from IL
2014-12-18,Bulls,, Derrick Rose,placed on IL with illness
2014-12-18,Bulls,, Taj Gibson,placed on IL with sprained right ankle
2014-12-18,Bulls, Joakim Noah,,activated from IL
2014-12-18,Kings,, Reggie Evans,placed on IL with bruised left knee
2014-12-18,Kings, DeMarcus Cousins,,activated from IL
2014-12-18,Rockets,, Clint Capela,placed on IL
2014-12-18,Rockets, Kostas Papanikolaou,,activated from IL
2014-12-18,Celtics, Vitor Faverani,,activated from IL
2014-12-19,Blazers,, Nicolas Batum,placed on IL with left knee injury
2014-12-19,Cavaliers, Mike Miller,,activated from IL
2014-12-20,Blazers, Nicolas Batum,,activated from IL
2014-12-20,Hornets,, Lance Stephenson,placed on IL with bruised pelvis
2014-12-20,Pelicans, Russ Smith,,activated from IL
2014-12-20,Mavericks, Ricky Ledo,,activated from IL
2014-12-21,Grizzlies,, Zach Randolph,placed on IL with sore right knee
2014-12-21,Heat, Andre Dawkins,,activated from IL
2014-12-21,Kings,, Eric Moreland,placed on IL
2014-12-21,Kings, Reggie Evans,,activated from IL
2014-12-21,Magic,, Willie Green,placed on IL with illness
2014-12-21,Magic, Roy Devyn Marble / Roy Marble (Devyn),,activated from IL
2014-12-21,Nets,, Deron Williams,placed on IL with strained right calf
2014-12-21,Nets, Markel Brown,,activated from IL
2014-12-21,Raptors,, Landry Fields,placed on IL with concussion
2014-12-21,Raptors, Bruno Caboclo,,activated from IL
2014-12-21,Timberwolves,, Nikola Pekovic,placed on IL with right ankle injury
2014-12-22,Blazers,, LaMarcus Aldridge,placed on IL with upper respiratory illness
2014-12-22,Blazers, Victor Claver,,activated from IL
2014-12-22,Bulls, Derrick Rose,,activated from IL
2014-12-22,Bulls, Taj Gibson,,activated from IL
2014-12-22,Jazz, Patrick Christopher,,activated from IL
2014-12-22,Kings, Omri Casspi,,activated from IL
2014-12-22,Nuggets,, Danilo Gallinari,placed on IL recovering from surgery on right knee to repair torn meniscus
2014-12-22,Spurs,, Kawhi Leonard,placed on IL with bruised right hand
2014-12-22,Spurs, (William) Tony Parker,,activated from IL
2014-12-22,Warriors, David Lee,,activated from IL
2014-12-23,Blazers,, Nicolas Batum,placed on IL with wrist injury
2014-12-23,Blazers,, Robin Lopez,placed on IL with fractured right hand (P)
2014-12-23,Blazers, LaMarcus Aldridge,,activated from IL
2014-12-23,Bucks,, Jabari Parker,placed on IL with torn ACL in left knee (out for season)
2014-12-23,Bucks, Ersan Ilyasova,,activated from IL
2014-12-23,Bulls,, Kirk Hinrich,placed on IL with hamstring injury / tendinitis in left knee (P)
2014-12-23,Hawks,, John Jenkins,placed on IL
2014-12-23,Hawks, Jeff Teague,,activated from IL
2014-12-23,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
2014-12-23,Magic, Willie Green,,activated from IL
2014-12-23,Nets,, Markel Brown,placed on IL
2014-12-23,Nets, Brook Lopez,,activated from IL
2014-12-23,Pacers,, Ian Mahinmi,placed on IL with torn plantar fascia in left foot
2014-12-23,Pacers, George Hill,,activated from IL
2014-12-25,Cavaliers,, A.J. Price,placed on IL
2014-12-25,Cavaliers,, Anderson Varejao,placed on IL with left Achilles injury (out for season)
2014-12-25,Cavaliers, Alex Kirk,,activated from IL
2014-12-25,Knicks, Louis Amundson / Lou Amundson,,activated from IL
2014-12-25,Warriors,, Festus Ezeli,placed on IL with sprained ankle
2014-12-26,Blazers,, LaMarcus Aldridge,placed on IL with upper respiratory infection
2014-12-26,Blazers, Nicolas Batum,,activated from IL
2014-12-26,Bucks,, Damien Inglis,placed on IL with right ankle injury (out for season)
2014-12-26,Bucks, John Henson,,activated from IL
2014-12-26,Cavaliers,, Kyrie Irving,placed on IL with bruised left knee
2014-12-26,Cavaliers, A.J. Price,,activated from IL
2014-12-26,Hawks,, Pero Antic,placed on IL with sprained right ankle
2014-12-26,Hawks, Adreian Payne,,activated from IL
2014-12-26,Hornets,, Jannero Pargo,placed on IL with back injury
2014-12-26,Hornets, Noah Vonleh,,activated from IL
2014-12-26,Kings,, DeMarcus Cousins,placed on IL with illness / stomach flu
2014-12-26,Kings, Eric Moreland,,activated from IL
2014-12-26,Nets,, Cory Jefferson,placed on IL
2014-12-26,Nets, Deron Williams,,activated from IL
2014-12-26,Suns,, Archie Goodwin,placed on IL
2014-12-26,Suns,, Tony Mitchell (LaShae),placed on IL
2014-12-26,Suns, Zoran Dragic,,activated from IL
2014-12-27,Hawks,, Adreian Payne,placed on IL
2014-12-27,Hawks, Pero Antic,,activated from IL
2014-12-27,Jazz,, Alec Burks,placed on IL with left shoulder injury (out for season)
2014-12-27,Jazz, Trevor Booker,,activated from IL
2014-12-27,Kings,, Ramon Sessions,placed on IL with strained lower back
2014-12-27,Kings, DeMarcus Cousins,,activated from IL
2014-12-27,Raptors,, Bruno Caboclo,placed on IL
2014-12-27,Raptors, Landry Fields,,activated from IL
2014-12-28,Mavericks,, Tyson Chandler,placed on IL with back spasms
2014-12-28,Mavericks, Raymond Felton,,activated from IL
2014-12-28,Spurs,, (William) Tony Parker,placed on IL with strained hamstring
2014-12-28,Celtics, James Young,,activated from IL
2014-12-28,Spurs, Patrick Mills / Patty Mills,,activated from IL
2014-12-29,Clippers,, Chris Douglas-Roberts,placed on IL
2014-12-29,Clippers, Spencer Hawes,,activated from IL
2014-12-29,Heat,, Justin Hamilton (Anthony),placed on IL with concussion
2014-12-29,Heat, Chris Bosh,,activated from IL
2014-12-29,Hornets,, Jeffery Taylor / Jeff Taylor (b),placed on IL
2014-12-29,Hornets,, Noah Vonleh,placed on IL
2014-12-29,Wizards,, DeJuan Blair,placed on IL
2014-12-29,Wizards, Martell Webster,,activated from IL
2014-12-29,Hornets, Lance Stephenson,,activated from IL
2014-12-30,Blazers,, Meyers Leonard,placed on IL with strained left shoulder
2014-12-30,Blazers, LaMarcus Aldridge,,activated from IL
2014-12-30,Cavaliers,, LeBron James,placed on IL with strained left knee
2014-12-30,Cavaliers, Kyrie Irving,,activated from IL
2014-12-30,Grizzlies, Jordan Adams,,activated from IL
2014-12-30,Mavericks,, Ricky Ledo,placed on IL
2014-12-30,Mavericks, Tyson Chandler,,activated from IL
2014-12-30,Nets,, Kevin Garnett,placed on IL
2014-12-30,Nets, Cory Jefferson,,activated from IL
2014-12-30,Wizards,, Drew Gooden,placed on IL with knee injury
2014-12-30,Wizards, DeJuan Blair,,activated from IL
2014-12-31,Hornets,, Al Jefferson,placed on IL with strained adductor muscle in left groin
2014-12-31,Hornets, Noah Vonleh,,activated from IL
2014-12-31,Kings,, Eric Moreland,placed on IL with left shoulder injury (out for season)
2014-12-31,Knicks, Andrea Bargnani,,activated from IL
2014-12-31,Suns,, Zoran Dragic,placed on IL
2014-12-31,Suns, Archie Goodwin,,activated from IL
2014-12-31,Suns, Tyler Ennis,,activated from IL
2014-12-31,Thunder,, Lance Thomas,placed on IL
2014-12-31,Thunder, Kevin Durant,,activated from IL
2015-01-01,Bulls, Kirk Hinrich,,activated from IL
2015-01-01,Kings,, Omri Casspi,placed on IL with left knee injury
2015-01-02,Bucks,, Larry Sanders (b. 1988-11-21),placed on IL
2015-01-02,Knicks,, Tim Hardaway Jr.,placed on IL with concussion
2015-01-02,Knicks, Cleanthony Early,,activated from IL
2015-01-02,Magic,, Maurice Harkless / Moe Harkless,placed on IL
2015-01-02,Magic, Roy Devyn Marble / Roy Marble (Devyn),,activated from IL
2015-01-02,Nets,, Cory Jefferson,placed on IL
2015-01-02,Nets, Kevin Garnett,,activated from IL
2015-01-02,Pistons,, Spencer Dinwiddie,placed on IL
2015-01-02,Pistons, Luigi Datome / Gigi Datome,,activated from IL
2015-01-02,Suns,, Tyler Ennis,placed on IL
2015-01-02,Suns, Zoran Dragic,,activated from IL
2015-01-03,Blazers,, Victor Claver,placed on IL
2015-01-03,Blazers, Meyers Leonard,,activated from IL
2015-01-03,Bulls,, Mike Dunleavy Jr.,placed on IL with right ankle injury
2015-01-03,Jazz,, Patrick Christopher,placed on IL with right knee injury
2015-01-04,Knicks,, Carmelo Anthony,placed on IL with sore left knee
2015-01-04,Knicks, Tim Hardaway Jr.,,activated from IL
2015-01-04,Suns,, Zoran Dragic,placed on IL
2015-01-04,Suns, Tyler Ennis,,activated from IL
2015-01-05,Blazers,, Joel Freeland,placed on IL with bruised right shoulder
2015-01-05,Blazers, Victor Claver,,activated from IL
2015-01-05,Celtics,, Jameer Nelson,placed on IL with sprained right ankle
2015-01-05,Celtics, James Young,,activated from IL
2015-01-05,Clippers,, Jared Cunningham,placed on IL
2015-01-05,Clippers, Chris Douglas-Roberts,,activated from IL
2015-01-05,Pelicans,, Russ Smith,placed on IL
2015-01-05,Pelicans, Eric Gordon,,activated from IL
2015-01-05,Wizards,, DeJuan Blair,placed on IL
2015-01-05,Wizards, Drew Gooden,,activated from IL
2015-01-06,Spurs,, Kyle Anderson,placed on IL with ankle injury
2015-01-06,Spurs, (William) Tony Parker,,activated from IL
2015-01-06,Jazz, Patrick Christopher,,activated from IL
2015-01-07,Celtics,, James Young,placed on IL
2015-01-07,Celtics, Marcus Thornton (T.),,activated from IL
2015-01-07,Clippers,, Chris Douglas-Roberts,placed on IL
2015-01-07,Clippers, C.J. Wilcox,,activated from IL
2015-01-07,Jazz,, Rodney Hood,placed on IL
2015-01-07,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with sore right knee
2015-01-07,Thunder,, Grant Jerrett,placed on IL
2015-01-07,Warriors, Andrew Bogut,,activated from IL
2015-01-07,Wizards,, Paul Pierce,placed on IL for rest
2015-01-07,Wizards, DeJuan Blair,,activated from IL
2015-01-08,Heat, Justin Hamilton (Anthony),,activated from IL
2015-01-09,Celtics, James Young,,activated from IL
2015-01-09,Grizzlies,, Jordan Adams,placed on IL
2015-01-09,Grizzlies, Zach Randolph,,activated from IL
2015-01-09,Nets,, Deron Williams,placed on IL with fractured rib
2015-01-09,Nets, Cory Jefferson,,activated from IL
2015-01-09,Pacers, Ian Mahinmi,,activated from IL
2015-01-09,Spurs,, Aron Baynes,placed on IL with neck spasms
2015-01-09,Spurs, Kyle Anderson,,activated from IL
2015-01-09,Warriors,, Ognjen Kuzmic / Ognen Kuzmic,placed on IL
2015-01-09,Wizards,, DeJuan Blair,placed on IL
2015-01-09,Wizards, Paul Pierce,,activated from IL
2015-01-10,Bulls,, Derrick Rose,placed on IL with sore left knee / right hip injury
2015-01-10,Clippers,, C.J. Wilcox,placed on IL
2015-01-10,Clippers, Chris Douglas-Roberts,,activated from IL
2015-01-10,Hornets,, Lance Stephenson,placed on IL with strained pelvis
2015-01-10,Hornets, Jeffery Taylor / Jeff Taylor (b),,activated from IL
2015-01-10,Magic,, Evan Fournier,placed on IL with knee injury
2015-01-10,Magic, Maurice Harkless / Moe Harkless,,activated from IL
2015-01-10,Pacers,, George Hill,placed on IL with sore/strained left groin
2015-01-10,Raptors,, Lucas Nogueira,placed on IL (not CBC)
2015-01-10,Raptors, Bruno Caboclo,,activated from IL
2015-01-10,Spurs,, Emanuel Ginobili / Manu Ginobili,placed on IL with back spasms
2015-01-10,Spurs, Aron Baynes,,activated from IL
2015-01-11,Grizzlies,, Quincy Pondexter,placed on IL
2015-01-11,Grizzlies,, Tayshaun Prince,placed on IL
2015-01-11,Grizzlies, Jordan Adams,,activated from IL
2015-01-12,Bulls, Derrick Rose,,activated from IL
2015-01-12,Rockets,, Isaiah Canaan,placed on IL
2015-01-12,Rockets,, Nick Johnson,placed on IL
2015-01-12,Rockets, Terrence Jones,,activated from IL
2015-01-13,Cavaliers,, Iman Shumpert,placed on IL with dislocated left shoulder
2015-01-13,Cavaliers, LeBron James,,activated from IL
2015-01-13,Hawks,, DeMarre Carroll,placed on IL for rest
2015-01-13,Hawks,, Paul Millsap,placed on IL for rest
2015-01-13,Hawks, Adreian Payne,,activated from IL
2015-01-13,Spurs,, Marco Belinelli,placed on IL with strained left groin
2015-01-13,Spurs, Emanuel Ginobili / Manu Ginobili,,activated from IL
2015-01-13,Suns,, Tyler Ennis,placed on IL
2015-01-14,Celtics,, Tayshaun Prince,placed on IL
2015-01-14,Grizzlies,, Russ Smith,placed on IL
2015-01-14,Hawks,, Al Horford,placed on IL for rest
2015-01-14,Hawks,, Kyle Korver,placed on IL for rest
2015-01-14,Hawks, DeMarre Carroll,,activated from IL
2015-01-14,Hawks, Paul Millsap,,activated from IL
2015-01-14,Heat,, Dwyane Wade,placed on IL with strained hamstring
2015-01-14,Hornets, Lance Stephenson,,activated from IL
2015-01-14,Magic,, Tobias Harris,placed on IL with sprained left ankle
2015-01-14,Magic, Evan Fournier,,activated from IL
2015-01-14,Nets, Markel Brown,,activated from IL
2015-01-14,Pelicans,, Jrue Holiday,placed on IL with stress reaction in right ankle
2015-01-14,Raptors,, Bruno Caboclo,placed on IL
2015-01-14,Raptors, DeMar DeRozan,,activated from IL
2015-01-14,Wizards,, Drew Gooden,placed on IL
2015-01-14,Wizards, DeJuan Blair,,activated from IL
2015-01-15,Knicks,, Andrea Bargnani,placed on IL
2015-01-15,Knicks,, Cleanthony Early,placed on IL with ankle injury
2015-01-15,Knicks, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
2015-01-15,Knicks, Carmelo Anthony,,activated from IL
2015-01-16,Bulls,, Joakim Noah,placed on IL with sprained right ankle
2015-01-16,Grizzlies,, Mike Conley Jr.,placed on IL with sprained right ankle
2015-01-16,Grizzlies, Russ Smith,,activated from IL
2015-01-16,Hawks,, Adreian Payne,placed on IL
2015-01-16,Hawks, Al Horford,,activated from IL
2015-01-16,Hawks, Kyle Korver,,activated from IL
2015-01-16,Heat,, Josh McRoberts,placed on IL (P) (out for season)
2015-01-16,Jazz,, Elliot Williams,placed on IL
2015-01-16,Jazz, Rodney Hood,,activated from IL
2015-01-16,Kings,, Rudy Gay,placed on IL with sore/strained left knee
2015-01-16,Kings, Omri Casspi,,activated from IL
2015-01-16,Nuggets, Jameer Nelson,,activated from IL
2015-01-16,Spurs,, Austin Daye,placed on IL
2015-01-16,Spurs, Kawhi Leonard,,activated from IL
2015-01-16,Suns,, Archie Goodwin,placed on IL
2015-01-16,Suns, Zoran Dragic,,activated from IL
2015-01-16,Warriors,, Andrew Bogut,placed on IL for rest
2015-01-17,Hawks,, Pero Antic,placed on IL
2015-01-17,Hawks, Adreian Payne,,activated from IL
2015-01-17,Kings,, Carl Landry,placed on IL with sprained right wrist
2015-01-17,Kings, Rudy Gay,,activated from IL
2015-01-17,Nuggets, Randy Foye,,activated from IL
2015-01-17,Warriors, Andrew Bogut,,activated from IL
2015-01-17,Spurs, Austin Daye,,activated from IL
2015-01-18,Magic,, Andrew Nicholson,placed on IL
2015-01-18,Magic, Aaron Gordon,,activated from IL
2015-01-19,Bucks,, Kendall Marshall,placed on IL recovering from surgery on right knee to repair torn ACL (out for season)
2015-01-19,Celtics,, James Young,placed on IL with illness
2015-01-19,Celtics, Tayshaun Prince,,activated from IL
2015-01-19,Grizzlies,, Russ Smith,placed on IL
2015-01-19,Grizzlies, Mike Conley Jr.,,activated from IL
2015-01-19,Hawks,, Shelvin Mack,placed on IL with strained left calf
2015-01-19,Hawks, Pero Antic,,activated from IL
2015-01-19,Hornets,, Kemba Walker,placed on IL with left knee injury
2015-01-19,Hornets, Al Jefferson,,activated from IL
2015-01-19,Suns,, Reggie Bullock,placed on IL
2015-01-19,Suns, Tyler Ennis,,activated from IL
2015-01-19,Wizards,, DeJuan Blair,placed on IL
2015-01-19,Wizards, Drew Gooden,,activated from IL
2015-01-20,Heat,, Justin Hamilton (Anthony),placed on IL
2015-01-20,Heat, Dwyane Wade,,activated from IL
2015-01-20,Nuggets,, Erick Green,placed on IL
2015-01-21,Hawks,, Adreian Payne,placed on IL
2015-01-21,Hawks, John Jenkins,,activated from IL
2015-01-21,Heat,, Luol Deng,placed on IL with illness
2015-01-21,Heat, Justin Hamilton (Anthony),,activated from IL
2015-01-21,Hornets,, Noah Vonleh,placed on IL
2015-01-21,Hornets, Kemba Walker,,activated from IL
2015-01-21,Jazz,, Rodney Hood,placed on IL with foot injury / bruised left knee (P)
2015-01-21,Jazz, Elliot Williams,,activated from IL
2015-01-21,Kings, Ramon Sessions,,activated from IL
2015-01-21,Magic,, Maurice Harkless / Moe Harkless,placed on IL
2015-01-21,Magic, Tobias Harris,,activated from IL
2015-01-21,Suns,, Tyler Ennis,placed on IL
2015-01-21,Suns,, Zoran Dragic,placed on IL
2015-01-21,Suns, Archie Goodwin,,activated from IL
2015-01-21,Suns, Reggie Bullock,,activated from IL
2015-01-21,Timberwolves,, Shabazz Muhammad,placed on IL
2015-01-21,Timberwolves, Nikola Pekovic,,activated from IL
2015-01-22,Bulls, Doug McDermott,,activated from IL
2015-01-22,Pacers, C.J. Watson,,activated from IL
2015-01-23,76ers,, Tony Wroten Jr.,placed on IL with torn ACL in right knee (out for season)
2015-01-23,Bulls, Joakim Noah,,activated from IL
2015-01-23,Cavaliers, Iman Shumpert,,activated from IL
2015-01-23,Celtics,, Kelly Olynyk,placed on IL with sprained right ankle
2015-01-23,Celtics, James Young,,activated from IL
2015-01-23,Grizzlies,, Jarnell Stokes,placed on IL
2015-01-23,Grizzlies,, Jordan Adams,placed on IL
2015-01-23,Heat, Luol Deng,,activated from IL
2015-01-23,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL
2015-01-23,Knicks, Cleanthony Early,,activated from IL
2015-01-23,Magic,, Dewayne Dedmon,placed on IL
2015-01-23,Magic, Andrew Nicholson,,activated from IL
2015-01-23,Nuggets, Danilo Gallinari,,activated from IL
2015-01-23,Pacers,, Shayne Whittington,placed on IL
2015-01-23,Pacers, George Hill,,activated from IL
2015-01-23,Suns,, T.J. Warren,placed on IL
2015-01-23,Suns, Zoran Dragic,,activated from IL
2015-01-24,Hornets,, Kemba Walker,placed on IL with torn lateral meniscus in left knee
2015-01-24,Hornets, Noah Vonleh,,activated from IL
2015-01-24,Knicks,, Jose Calderon,placed on IL with bruised left knee
2015-01-24,Knicks, Amare Stoudemire / Amar'e Stoudemire,,activated from IL
2015-01-24,Nets,, Mirza Teletovic,placed on IL with blood clots in lungs
2015-01-24,Pistons, Spencer Dinwiddie,,activated from IL
2015-01-25,Magic,, Ben Gordon,placed on IL
2015-01-25,Magic, Maurice Harkless / Moe Harkless,,activated from IL
2015-01-25,Pacers,, C.J. Miles,placed on IL with groin injury
2015-01-25,Pacers, Shayne Whittington,,activated from IL
2015-01-25,Rockets,, Terrence Jones,placed on IL with nerve inflammation in left leg
2015-01-25,Rockets, Clint Capela,,activated from IL
2015-01-25,Suns,, Brandan Wright,placed on IL with heel injury
2015-01-25,Suns, T.J. Warren,,activated from IL
2015-01-26,Grizzlies,, Tony Allen,placed on IL with ankle injury
2015-01-26,Grizzlies, Jordan Adams,,activated from IL
2015-01-26,Magic,, Maurice Harkless / Moe Harkless,placed on IL
2015-01-26,Magic, Dewayne Dedmon,,activated from IL
2015-01-26,Thunder,, Kevin Durant,placed on IL with sprained left big toe
2015-01-26,Thunder, Grant Jerrett,,activated from IL
2015-01-27,Bulls,, Jimmy Butler,placed on IL with illness
2015-01-27,Heat,, Luol Deng,placed on IL with calf injury
2015-01-27,Pistons,, Brandon Jennings,placed on IL with torn left Achilles (out for season)
2015-01-27,Pistons, Luigi Datome / Gigi Datome,,activated from IL
2015-01-27,Wizards,, Paul Pierce,placed on IL with sore left big toe
2015-01-27,Wizards, DeJuan Blair,,activated from IL
2015-01-28,Kings, Carl Landry,,activated from IL
2015-01-28,Knicks,, Amare Stoudemire / Amar'e Stoudemire,placed on IL with wrist injury
2015-01-28,Knicks, Jose Calderon,,activated from IL
2015-01-28,Rockets,, Dwight Howard,placed on IL with sprained right ankle
2015-01-28,Rockets, Terrence Jones,,activated from IL
2015-01-28,Suns,, Archie Goodwin,placed on IL
2015-01-28,Suns,, Zoran Dragic,placed on IL
2015-01-28,Suns, Brandan Wright,,activated from IL
2015-01-28,Suns, Tyler Ennis,,activated from IL
2015-01-28,Timberwolves,, Robbie Hummel,placed on IL with fractured right hand
2015-01-28,Timberwolves, Kevin Martin,,activated from IL
2015-01-28,Wizards,, Nene / Nene Hilario / Maybyner Hilario,placed on IL with foot injury
2015-01-28,Warriors, Festus Ezeli,,activated from IL
2015-01-29,Bulls, Jimmy Butler,,activated from IL
2015-01-29,Grizzlies, Tony Allen,,activated from IL
2015-01-29,Magic,, Roy Devyn Marble / Roy Marble (Devyn),placed on IL
2015-01-29,Magic, Ben Gordon,,activated from IL
2015-01-29,Nuggets, JaVale McGee,,activated from IL
2015-01-29,Pacers,, Shayne Whittington,placed on IL
2015-01-29,Pacers, C.J. Miles,,activated from IL
2015-01-30,Hawks,, DeMarre Carroll,placed on IL with strained left Achilles
2015-01-30,Hawks, Adreian Payne,,activated from IL
2015-01-30,Heat,, Dwyane Wade,placed on IL with strained hamstring
2015-01-30,Kings,, Reggie Evans,placed on IL
2015-01-30,Raptors,, Amir Johnson,placed on IL
2015-01-30,Raptors,, James Johnson,placed on IL with right hamstring injury
2015-01-30,Raptors, Bruno Caboclo,,activated from IL
2015-01-30,Suns,, Reggie Bullock,placed on IL
2015-01-30,Suns, Zoran Dragic,,activated from IL
2015-01-31,Grizzlies,, Vince Carter,placed on IL with left foot injury
2015-01-31,Hawks,, Thabo Sefolosha,placed on IL with strained right calf
2015-01-31,Magic,, Victor Oladipo,placed on IL with strained/sore right Achilles
2015-01-31,Magic, Maurice Harkless / Moe Harkless,,activated from IL
2015-01-31,Nuggets,, Darrell Arthur,placed on IL with illness
2015-01-31,Nuggets,, Kenneth Faried,placed on IL with illness
2015-01-31,Nuggets, Erick Green,,activated from IL
2015-01-31,Pacers,, Lavoy Allen,placed on IL with strained right knee
2015-01-31,Pacers, Shayne Whittington,,activated from IL
2015-01-31,Rockets,, Clint Capela,placed on IL
2015-01-31,Rockets, Isaiah Canaan,,activated from IL
2015-01-31,Thunder,, Grant Jerrett,placed on IL
2015-01-31,Thunder, Kevin Durant,,activated from IL
2015-01-31,Warriors, Ognjen Kuzmic / Ognen Kuzmic,,activated from IL
2015-01-31,Wizards,, DeJuan Blair,placed on IL
2015-01-31,Wizards, Nene / Nene Hilario / Maybyner Hilario,,activated from IL
2015-02-01,Celtics,, Shavlik Randolph,placed on IL with strained hamstring
2015-02-02,Hawks, DeMarre Carroll,,activated from IL
2015-02-02,Magic,, Andrew Nicholson,placed on IL
2015-02-02,Magic, Victor Oladipo,,activated from IL
2015-02-02,Mavericks,, Rajon Rondo,placed on IL with fractured left orbital bone and fractured nose
2015-02-02,Mavericks, Ricky Ledo,,activated from IL
2015-02-02,Nets, Deron Williams,,activated from IL
2015-02-02,Suns,, Tyler Ennis,placed on IL
2015-02-02,Suns,, Zoran Dragic,placed on IL
2015-02-02,Suns, Archie Goodwin,,activated from IL
2015-02-02,Suns, Reggie Bullock,,activated from IL
2015-02-02,Thunder,, Kevin Durant,placed on IL with sprained left big toe
2015-02-02,Thunder,, Perry Jones III,placed on IL with ankle injury
2015-02-02,Thunder, Grant Jerrett,,activated from IL
2015-02-02,Thunder, Mitch McGary,,activated from IL
2015-02-02,Timberwolves, Ricky Rubio,,activated from IL
